wordcontent,sentences,index
ఆడవాళ్లు,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?,10
ఆడవాళ్లు,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?,11
ఆడవాళ్లు,ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు ణూLL .,18
ఆడవాళ్లు,ఆడవాళ్లు కడుపుతో ఉన్నప్పుడు . కనేటప్పుడూ వైద్యం అవసరమే ణూLL .,44
ఆడవాళ్లు,అసలు విషయం ఏమంటే మొదటి ఆడవాళ్లు ఆరోగ్యంగా పెరగాలి ణూLL .,72
ఆడవాళ్లు,అందుకే ఆడవాళ్లు చదువుకోవాలి .,83
మంచి,"మునగ , కరివేపాకు , సీతాఫలం , జామ అందరూ పెంచగలవి , వీటిని వేసే మంచి జాతి మొక్కలు ఎంచుకోవాలి",91
మంచి,కంటి జబ్బులకు బొప్పాయి పండు మంచి మందు ణూLL .,108
మంచి,మంచి రకం మునగ ఏడాదిలో కాపుపడుతుంది .,130
మంచి,అరటికి పచ్చి పేడ మంచి ఎరువు ణూLL .,157
మంచి,అందరితోనూ మంచి అనిపించుకుంది .,310
మంచి,మంచి పోలగాని జూసి మనువు చేతాం .,354
అయినా,అయినా లంకెబిందెలు కనపడలేదు .,209
అయినా,అయినా లంకెబిందెల జాడలేదు .,218
అయినా,అయినా బావిలో బిందెలు కనపడలేదు .,225
అయినా,అయినా సోములు వినలేదు .,245
అయినా,అయినా ఏ నాడు ఏడవలేదు .,308
అయినా,అయినా ఎవరూ దవాఖానా పేరు ఎత్తరు .,436
మనం,రోజూ ఈ వార్తలు మనం వింటూనే .,37
మనం,ఈ కొత్త ప్రపంచంలోకి మనం అడుగు పెడతాం ?,79
మనం,మనం వాడిన నీళ్లు చెట్టుకు పారేటట్టు చేసుకుంటే .,162
మనం,మనం వాడుకునే నీళ్లు చెట్టుకు అందేటట్టు చేసుకుంటే .,176
మనం,మనం వాడిన నీళ్లు ఈ గుంటలో పడేటట్టు చేయాలి .,179
మనం,మనం పేదోళ్లం ణూLL .,314
మంచిది,పైగా బిడ్డకు ఎంతో మంచిది ణూLL .,112
మంచిది,మునగాకు కూర కళ్లకు ఎంతో మంచిది ణూLL .,123
మంచిది,వీటిలో బెంగుళూరు రకం చాలా మంచిది ణూLL .,126
మంచిది,పూతకు వచ్చినప్పుడు యూరియా వాడడం మంచిది ణూLL .,158
మంచిది,కొబ్బరిలో సంకరజాతివి నాటుకొంటే మంచిది ణూLL .,172
మంచిది,ఇంటిది నవ్వుతూ తిరుగుతుంటే నీకే మంచిది ణూLL .,347
దీని,ఎంత బాధైనా దీని ఎలా బయట పెట్టుకొనేది సరిగా విషయం తెలియకపోవడం .,25
దీని,దీని అరలీటరు పాలు దిగుబడి పెరుగుతుంది .,136
దీని,దీని పాల దిగుబడి పెరుగుతుంది .,141
దీని,దీని పంటకాలం సుమారు 4 నెలలు .,1275
దీని,దీని విత్తనాల వచ్చే రోగాలను అరికట్టివచ్చు .,1284
దీని,దీని చుట్టూ తొమ్మిది గ్రహాలు ఉన్నాయి .,2116
అందుకే,అందుకే ఆడవాళ్లు చదువుకోవాలి .,83
అందుకే,అందుకే వాళ్లకు రక్తపోటు వస్తుంది .,736
అందుకే,అందుకే శారద గాలికి తిరుగుతున్నది .,784
అందుకే,అందుకే దగ్గరగా ఉంచాలి .,885
అందుకే,అందుకే అడగలేదు .,937
అందుకే,అందుకే గోపాలం మేం సొంత ఊరు వదలం అన్నాడు .,991
అవసరం,అవసరం లేనపుడు కాకుండేందుకు మార్గం ఏదో ఆమెకు తెలిసి .,56
అవసరం,అందువల్ల కడుపుతో ఉన్నప్పుడు జాగ్రత్తలు అవసరం ణూLL .,63
అవసరం,లేనివాళ్లకు మరిన్ని జాగ్రత్తలు అవసరం ణూLL .,65
అవసరం,గర్భంతో ఉన్నప్పుడు ఆమెకు ఇద్దరి ఆహారం అవసరం ణూLL .,74
అవసరం,దీనికి పెద్ద చోటు అవసరం లేదు .,101
అవసరం,గర్భంతో ఉన్నప్పుడు ఆమెకు ణూLL ఇద్దరి ఆహారం అవసరం .,410
నాకు,నాకు కలలో ఒక దేవత కనిపించింది .,201
నాకు,ఆ ముసలమ్మను చూడగానే నాకు అనుమానం కలిగింది .,466
నాకు,నాకు ఏమీ అర్ధం కాలేదు .,478
నాకు,నాకు ఆమె కాశ్మీరు స్త్రీ అని అర్ధమైంది .,490
నాకు,నాకు ఇప్పుడు అనుమానమే .,523
నాకు,నాకు భయం వేస్తుంది .,554
ఉంటాయి,మనకు చాలా ఆలోచనలు ఉంటాయి .,85
ఉంటాయి,వీర్య కణాలు రెండు రకాలు ఉంటాయి .,281
ఉంటాయి,చెట్టు నిండా కాయలు ఉంటాయి,396
ఉంటాయి,శరీరమంతా రక్తనాళాలు ఉంటాయి .,675
ఉంటాయి,ఇలా కొన్ని గంటలు ఉంటాయి .,852
ఉంటాయి,ఈ పద్ధతిలో ఇనుప బోనులు వరుసగా ఉంటాయి .,1506
ఇప్పుడు,ఇప్పుడు అతనిని తీసుకొని వెళ్లటానికి వెతుకుతూ ఇక్కడకు స్వయంగా వచ్చిందని చెప్పినాడు .,500
ఇప్పుడు,నాకు ఇప్పుడు అనుమానమే .,523
ఇప్పుడు,ఇప్పుడు ఇక్కడ ఒంటరిగా పని జరగటం .,559
ఇప్పుడు,""" ఇప్పుడు నేను ఒంటరిగా ఉన్నాను .",582
ఇప్పుడు,ఇప్పుడు నాకు భయం వేస్తుంది .,590
ఇప్పుడు,ఇప్పుడు తులసికి నయమయింది .,707
ఇలా,మనం బతికి ఉన్నంత కాలం ఇలా జరుగుతుంది .,742
ఇలా,ఇలా కొన్ని గంటలు ఉంటాయి .,852
ఇలా,గోపాలంను తమకు కాకుండా చేయాలి . అనే ఇలా చేశారు . అని సోములు అలివేలు ణూLL అనుమానం ణూLL .,1018
ఇలా,ఇలా పాలు పెరుగుతాయి .,1178
ఇలా,ఇలా నీళ్లను చల్లుతారు .,1195
ఇలా,ఇలా కొన్ని రోజులు ఉంచుతారు .,1201
నీళ్లు,"మల బద్దకానికి బొప్పాయి పాలు , నీళ్లు , తేనె కలిపి తాగండి .",113
నీళ్లు,మనం వాడిన నీళ్లు చెట్టుకు పారేటట్టు చేసుకుంటే .,162
నీళ్లు,కొబ్బరి చెట్టు బాగా కాయాలంటే నీళ్లు బాగా ఉండాలి .,174
నీళ్లు,మనం వాడుకునే నీళ్లు చెట్టుకు అందేటట్టు చేసుకుంటే .,176
నీళ్లు,మనం వాడిన నీళ్లు ఈ గుంటలో పడేటట్టు చేయాలి .,179
నీళ్లు,కానీ గోతిలో నీళ్లు చేరాయి .,210
తన,తన గోడు చెప్పుకుంది .,268
తన,తన తప్పు తెలుసుకున్నాడు .,289
తన,ఒకసారి నావైపు చూసింది కాని మాట వినిపించలేదేమో తన ఆలోచనలలో నడుస్తూ వెళుతుంది .,472
తన,ఆమె తన మూటమీద చేయి వేయనీయటం .,491
తన,చాలా సందేహిస్తూ తన మూటను విప్పింది .,502
తన,ఆమె తన బుట్టలోంచి ఒక కత్తిని బయటకు తీసింది .,509
సోములు,వెంకటాపురంలో సోములు ఉండేవాడు .,184
సోములు,సోములు ఏ పనీ చేసేవాడు .,185
సోములు,అని సోములు అనేవాడు .,189
సోములు,సోములు వినేవాడు .,192
సోములు,సోములు ముఖంలో సంతోషం నా జాతకం ఇదే అయుండాలి .,205
సోములు,ఆ పైసలు సోములు చేతిలో ఉంచింది .,232
నా,అందరి ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?,1
నా,అది నా జాతకంలోనే రాసి .,188
నా,సోములు ముఖంలో సంతోషం నా జాతకం ఇదే అయుండాలి .,205
నా,నా కల నిజం అవుతుంది .,221
నా,అని నేను అంటే నా మాట వినడు .,363
నా,చదువుకున్న ఈ మామ కాపాడెను నా తల్లిని అంటుంటే రామయ్య నవ్వాడు,462
"""","ఇట్లా అన్నాడు "" అయిపోయింది .",487
"""","ఆఖరికి ముఖం ముడుచుకొని "" అలాగే ఎలాగో వచ్చిందని "" అంది .",511
"""","అప్పుడు నేను అన్నాను "" మనకు పెద్దవాళ్లు ఇచ్చింది చాలా ఉంది .",530
"""","ఇది మనకు సరిపోతుంది """,533
"""","పువ్వులు పుసేసరకి నేను తిరిగి "" అని చెప్పి బయలుదేరి .",539
"""",""" ఇటువంటివాడికంటే కొడుకు పుట్టకపోతే బాగుండేది "" అని అనేది .",543
ఎక్కువ,అలిసిపోవడం ఎక్కువ ణూLL .,17
ఎక్కువ,ఎక్కువ జాగ్రత్తలూ అవసరమే ణూLL .,45
ఎక్కువ,ఎక్కువ ఆహారం ఇస్తే సరిపోదు .,68
ఎక్కువ,నా అనుమానం మరీ ఎక్కువ ఐంది .,473
ఎక్కువ,దాంతో రక్తపోటు ఎక్కువ అవుతుంది .,680
ఎక్కువ,ఇది ఎక్కువ ఉన్నా కష్టమే ణూLL .,682
వస్తుంది,ఆడవాళ్లకు నెలా నెలా అండం వస్తుంది .,277
వస్తుంది,ఇది నలభై ఏళ్లుదాటాక వస్తుంది .,731
వస్తుంది,అందుకే వాళ్లకు రక్తపోటు వస్తుంది .,736
వస్తుంది,రక్తపోటు ఎలా వస్తుంది .,737
వస్తుంది,రక్తపోటు ఎలా వస్తుంది ?,739
వస్తుంది,రక్తపోటు ఎందుకు వస్తుంది .,752
పని,కూరకోసం వెతికే పని ఉండదు .,121
పని,నేను ఎందుకు పని చేయాలి .,186
పని,పని చేసి బతుకు అనేవాడు .,190
పని,ధనవంతునివి కావాలి అంటే పని చేయాలి .,191
పని,పని చేయించాలి .,198
పని,పైసా లేకుండా బావి పని అయింది .,211
ఉండాలి,తగినంత తీరిక ఉండాలి .,53
ఉండాలి,ఆడవాళ్లకు మగవాళ్లతో సమానంగా పనిచేసే హక్కు ఉండాలి .,75
ఉండాలి,"మగవాళ్లతో సమానమైన కూలి , జీతం ఉండాలి .",76
ఉండాలి,అది సంతోషంగా ఉండాలి .,140
ఉండాలి,అరటికి తడి ఆరకుండా నీరు ఉండాలి .,161
ఉండాలి,కొబ్బరి చెట్టు బాగా కాయాలంటే నీళ్లు బాగా ఉండాలి .,174
ఆమె,గర్భవతి కావాలో ఆమె నిర్ణయించుకొనే వీలుండాలి .,55
ఆమె,దీనికి తోడు అలాంటప్పుడు తగిన వైద్య సాయమూ లేకుంటే ఆమె ఏమీ అవుతుంది ?,59
ఆమె,ఇప్పటికే సరైన ఆహారం లేక ఆమె చిక్కిపోయిందనుకోండి .,69
ఆమె,ఆమె చదువుకోలేదు అనుకోండి .,70
ఆమె,మళ్లి వినిపించుకోకుండానే ఆమె వెళ్లిపోతుంది .,474
ఆమె,ఆమె చేతివేళ్లను కదిలించింది .,477
ఉంటుంది,"బీర , కాకర తీగలయితే పైకి పాకుతాయి , దొండ రెండో ఏడు ఉంటుంది .",96
ఉంటుంది,బొప్పాయి పండు తినడానికి రుచిగా ఉంటుంది .,105
ఉంటుంది,కాయ లావుగా పొడవుగా ఉంటుంది .,127
ఉంటుంది,లోపల గుజ్జు బాగా ఉంటుంది .,128
ఉంటుంది,ఏళ్ల తరబడి ఉంటుంది .,152
ఉంటుంది,ఈ చెట్టు పొట్టిగా ఉంటుంది .,156
లేదు,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .,5
లేదు,దీనికి పెద్ద చోటు అవసరం లేదు .,101
లేదు,సోములుకు మనసులో మనసు లేదు .,240
లేదు,మందులతో లాభం లేదు .,273
లేదు,ఇది ఎవరి చేతిలో లేదు .,276
లేదు,అంతేగాని ఇది ఎవరి చేతిలో లేదు .,286
మా,మా అత్తగారు నచ్చచెప్పింది .,534
మా,నన్ను మా అమ్మ కన్నది .,803
మా,మా తాత పొరుగూరిలో ఉంటాడు .,919
మా,ఈ మూటలను మా తాతకు అందించాలి .,920
మా,మా ఊరికి తీసుకుపోతాను .,1022
మా,మా కొడుకు మాకు కాకుండా చూడాలని .,1028
నేను,నేను ఎందుకు పని చేయాలి .,186
నేను,ఏనాటికైనా నేను ధనవంతుడను అవుతాను .,187
నేను,అని నేను అంటే నా మాట వినడు .,363
నేను,కానీ నేను ప్రశ్న మళ్లీ పలికించాను .,480
నేను,నేను ఆలోచించసాగాను .,482
నేను,"నేను ఆలోచనలలోనే మునిగిపోయాను , నా సిపాయి ఖాసిం రెండు చేతులతో ఏదో సైగ చేశాడు .",486
బాగా,"వంగ , టొమాటో మొలకలు బాగా పెరుగుతాయి .",94
బాగా,"పాలకూర , గోంగూర , తోటకూర , కొత్తిమీర , పుదీనా బాగా పెరుగుతాయి .",98
బాగా,లోపల గుజ్జు బాగా ఉంటుంది .,128
బాగా,మెలకువగా పాడి చేసుకుంటే దిగుబడి బాగా పెంచుకోవచ్చు .,134
బాగా,పశువును బాగా కడగాలి .,137
బాగా,కొబ్బరి చెట్టు బాగా కాయాలంటే నీళ్లు బాగా ఉండాలి .,174
ఇది,మనసు ఉంటే ఇది చాలా సులభం ణూLL .,89
ఇది,ఇది ఆరు నెలలలోపే కాపుకు వచ్చే చెట్టు ణూLL .,102
ఇది,ఇది నిజం కాదు .,111
ఇది,ఇది ఎవరి చేతిలో లేదు .,276
ఇది,అంతేగాని ఇది ఎవరి చేతిలో లేదు .,286
ఇది,అది గావాలె ణూLL ఇది గావాలె అంటాడు .,381
చాలా,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .,5
చాలా,గర్భంతో ఉన్నప్పుడు మాత్రం ఏదో వైద్య సాయం చేస్తే చాలా ?,50
చాలా,మనకు చాలా ఆలోచనలు ఉంటాయి .,85
చాలా,మనసు ఉంటే ఇది చాలా సులభం ణూLL .,89
చాలా,"బొప్పాయి కాయ , గింజలు , పాలు చాలా జబ్బులు పోగొడతాయి .",107
చాలా,మునగలు చాలా రకాలు ణూLL .,125
",","బహిష్టు , తెల్లబట్టలాంటివి బయట పెట్టుకోలేక .",23
",","తగిన డాక్టర్లూ , నర్సులూ లేకపోవడం .",28
",","గర్భవతి అయినప్పుడూ , ఆపరేషను చేయించుకోవాలసినప్పుడేనా వాళ్లకు డాక్టర్లు అవసరమయ్యేది ?",48
",","అట్లా కాకుండా ఆకలీ , గొడ్డు చాకిరితో సతమతం అవుతుంటే ! ఆమెకు గర్భవతి కావడం భారంగాక ఏమవుతుంది ?",58
",","పచ్చకామెర్లు , క్షయ , క్షయ , మలేరియా లాంటి రోగాలన్నీ నయమయ్యే రోగాలే ణూLL .",60
",","సరైన ఆహారం లేకపోతే , జాగ్రత్త పడకపోతే ఏ జబ్బైనా ప్రాణం తెస్తుంది .",62
?,మరో సంగతి మీకు తెలుసా ?,0
?,అందరి ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?,1
?,ఇట్లా ఎందుకు జరుగుతోంది ?,2
?,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?,10
?,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?,11
?,ఎందుకు అంటారు ?,12
ఉంది,మూడు ఆపిల్ పళ్లలో ఉండే బలం ఒక అరటి పండులో ఉంది .,164
ఉంది,దీనికొక ఉపాయం ఉంది .,177
ఉంది,అయితే ఏమీ ఉంది .,303
ఉంది,గుడి ఉంది .,416
ఉంది,బడి ఉంది .,417
ఉంది,చిన్న దవాఖానా ఒకటి ఉంది,418
ఆ,ఆ పైసలు సోములు చేతిలో ఉంచింది .,232
ఆ,ఆ ఊరి పేరు సిరిపురం ణూLL .,234
ఆ,ఎవరో సాధువు ఆ ఊరికి వచ్చాడు .,246
ఆ,ఆ సాధువు రోగాలు నయం చేసేవాడు .,247
ఆ,ఆ ఊరిలో రామయ్య సన్నకారు రైతు ఉన్నాడు .,420
ఆ,ముద్ద బంతి పూవు ముద్దులొలుకు ఆ మల్లి ణూLL .,425
అని,అని సోములు అనేవాడు .,189
అని,అని అనసూయ అనుకుంది .,199
అని,అని అనసూయ సోములుతో అంది .,204
అని,కొడుకు లేకపోవడం లోటు ణూLL అని అందరితో అనేవాడు .,242
అని,కొడుకుని కనకపోవడం సీతాలుదే తప్పు ణూLL . అని అందరితో అనేవాడు .,243
అని,ఈ సారి మగ పిల్లాడు కలిగేలా . అని రత్తాలు డాక్టరుతో ఒకటే ఏడుపు ణూLL .,272
